Time,NIFTY,BANKNIFTY,SENSEX
09-18,0.65,0.76,0.64
09-20,0.64,0.75,0.64
09-25,0.59,0.75,0.61
09-28,0.59,0.76,0.61
09-30,0.59,0.76,0.61
09-32,0.6,0.76,0.61
09-35,0.59,0.76,0.6
09-37,0.58,0.76,0.58
09-40,0.59,0.76,0.57
09-42,0.59,0.76,0.58
09-44,0.59,0.76,0.58
09-47,0.59,0.76,0.58
09-49,0.59,0.76,0.59
09-51,0.59,0.76,0.59
09-54,0.59,0.76,0.59
09-56,0.58,0.75,0.59
09-58,0.58,0.75,0.6
10-01,0.6,0.75,0.6
10-03,0.59,0.75,0.61
10-06,0.6,0.75,0.61
10-08,0.6,0.75,0.62
10-10,0.58,0.75,0.61
10-13,0.59,0.75,0.61
10-15,0.59,0.75,0.62
