contract,entryTime,entryPrice,SlPrice,exitPrice1Lot,exitedlLotTrueFalse,ExitTime1Lot,allexit,allExitTime,allExitPrice,Reason
BSE:SENSEX2531173500PE,2025-03-06 09:47:00,426.2,390.05,534.6,0,0,1,2025-03-06 09:55:00,387.95,2SlHit
BSE:SENSEX2531174000CE,2025-03-06 12:31:00,451.95,428.2,523.2,0,0,1,2025-03-06 12:33:00,428.2,2SlHit
BSE:SENSEX2531174100CE,2025-03-06 12:40:00,412.65,387.8,487.15,0,0,1,2025-03-06 12:45:00,387.8,2SlHit
BSE:SENSEX2531174100CE,2025-03-06 12:50:00,441.5,416.45,516.7,0,0,1,2025-03-06 12:56:00,416.45,2SlHit
BSE:SENSEX2531174100CE,2025-03-06 13:09:00,430.95,406.55,504.2,0,0,1,2025-03-06 13:11:00,406.55,2SlHit
BSE:SENSEX2531174100CE,2025-03-06 13:35:00,437.9,417.1,500.3,0,0,1,2025-03-06 13:43:00,417.1,2SlHit
BSE:SENSEX2531174200CE,2025-03-06 13:45:00,395,375.85,452.5,0,0,1,2025-03-06 14:00:00,416.75,2Lot15Min
BSE:SENSEX2531174300CE,2025-03-06 14:13:00,387.75,369.2,443.45,0,0,1,2025-03-06 14:14:00,369.2,2SlHit
BSE:SENSEX2531174200CE,2025-03-06 14:32:00,440.35,420.95,498.5,0,0,1,2025-03-06 14:47:00,482.25,2Lot15Min
BSE:SENSEX2531174400CE,2025-03-06 14:47:00,378.3,361.2,429.65,0,0,1,2025-03-06 14:49:00,361.2,2SlHit
