Script,mCap
SOMANYCERA,2426
UNIONGOLD,0
BAJAJINDEF,1390
UNIONBANK,111558
VIPCLOTHNG,368
RCF,8747
TPLPLASTEH,632
EXCELINDUS,1580
NESTLEIND,228395
HNGSNGBEES,0
SANOFICONR,11704
MOL,2341
ORICONENT,723
SETFGOLD,0
SAILIFE,15865
PROTEAN,3776
EPIGRAL,7876
SUPRAJIT,6326
ALKYLAMINE,10231
MMP,639
MOVALUE,0
MANYAVAR,19336
PARAGMILK,2669
RECLTD,104678
VESUVIUS,11916
GRINFRA,12852
SUNDARMFIN,54494
PETRONET,45219
BBL,3301
GMBREW,1683
AJAXENGG,6895
NKIND,42
BALAXI,255
HDFCNIFTY,0
TOP10ADD,0
TORNTPOWER,71296
ZAGGLE,5744
SHAH,295
BSE500IETF,0
RAMCOIND,2335
HARRMALAYA,398
SPARC,5242
BOROSCI,1264
SELECTIPO,0
ISGEC,9009
BELRISE,9396
BIKAJI,18544
GALAPREC,1125
VMART,7340
JNKINDIA,2032
HNDFDS,6291
MAYURUNIQ,2512
HEUBACHIND,1354
NPST,4051
MONIFTY500,0
BALMLAWRIE,3614
KPIL,20255
CROMPTON,22374
ASTRAL,42724
GALAXYSURF,9037
HGINFRA,6904
TARIL,14802
SATIA,814
MSCIINDIA,0
KOLTEPATIL,3464
UNITDSPR,104878
GHCL,5937
SANOFI,14162
AARTIIND,16696
KNRCON,6062
COFFEEDAY,739
DEN,1724
SPAL,2064
REFEX,6053
SEMAC,128
AXISGOLD,0
ZUARI,902
JHS,114
LTF,47860
DALMIASUG,3404
BAJAJELEC,7663
BANKBEES,0
SBIBPB,0
POWERMECH,9977
MAGNUM,180
PRAJIND,9097
VARROC,8516
SIGACHI,2254
LUPIN,92038
ATHERENERG,12228
MALLCOM,765
GSPL,18574
MOPSE,0
MFSL,55149
RHL,427
ABB,127876
ADVANIHOTR,576
PREMIERENE,45873
NETWORK18,8391
EVIETF,0
BANKNIFTY1,0
MATRIMONY,1204
YUKEN,1379
TIIL,6610
CDSL,35223
KCPSUGIND,403
STARHEALTH,26428
OBEROIRLTY,69600
NCC,14360
SMARTLINK,160
VRLLOG,5017
TNPETRO,831
GAEL,5272
E2E,3776
CHOICEIN,14384
INDIACEM,10439
JGCHEM,1577
GSEC10ABSL,0
ACL,632
FSL,26872
NATIONALUM,34503
EMUDHRA,6015
MOLOWVOL,0
TIPSMUSIC,8583
AXISBANK,378465
VINCOFE,1641
RUPA,1701
KDDL,3649
GOCOLORS,4673
DCMNVL,333
LXCHEM,5467
THERMAX,40100
LINCOLN,1159
BLBLIMITED,80
JSWENERGY,90190
EMULTIMQ,0
NEXT50IETF,0
AUTOBEES,0
ASHAPURMIN,3695
ALKALI,100
BAIDFIN,147
OSWALSEEDS,132
BPL,476
VAISHALI,169
SCHAND,857
PARKHOTELS,3537
PENIND,3185
FINPIPE,14291
GNA,1365
GICHSGFIN,1030
SHOPERSTOP,5521
PPLPHARMA,26074
FOODSIN,734
KSL,3892
CARERATING,5716
AURIONPRO,7439
JUNIPER,7004
HPIL,152
DLINKINDIA,1912
RAMCOCEM,24784
NIFTYIETF,0
INDOSTAR,4569
PRABHA,3562
AYMSYNTEX,1461
GMRP&UI,7807
NILAINFRA,494
BASML,276
KINGFA,3748
GROWWGOLD,0
ADANIPOWER,215958
BEARDSELL,128
LIKHITHA,1175
PHOENIXLTD,57923
ASMS,438
ZEEMEDIA,864
NORTHARC,3619
GANDHAR,1686
DABUR,83399
GANGAFORGE,58
OBCL,117
AHLUCONT,6277
AVG,438
AXISNIFTY,0
MONEXT50,0
BFINVEST,1828
RELIANCE,1945430
MBAPL,3077
JBCHEPHARM,26817
IGL,29362
SAKAR,721
VADILALIND,3832
AAATECH,108
VGUARD,16378
STARCEMENT,8577
CUB,14467
STEELXIND,988
YATRA,1460
SHALPAINTS,827
GPTINFRA,1658
EMIL,5803
SIGNATURE,18127
ZENTEC,17686
ALLDIGI,1380
INSPIRISYS,423
WIPRO,275199
3MINDIA,32814
SURAJLTD,743
GILLETTE,33680
THOMASCOOK,7650
AXISHCETF,0
SHIVAMAUTO,392
ICRA,6515
PRUDMOULI,145
LIQUIDETF,0
UGROCAP,1671
ASIANENE,1358
VIJIFIN,34
ORIENTELEC,4740
KALYANKJIL,53897
PGIL,6468
PANACEABIO,2749
NIFTY1,0
ASTRAZEN,25085
TATATECH,30222
SUPREMEIND,59303
ONELIFECAP,17
BAJAJFINSV,321501
OSWALGREEN,1177
TNPL,1117
GODIGIT,31972
PSUBNKIETF,0
STYRENIX,5834
LIQUIDCASE,0
LEMONTREE,10901
KIRLOSIND,3889
GOLDETFADD,0
SUNCLAY,4712
VENKEYS,2299
GOKUL,459
MAHLOG,2411
SIYSIL,3177
EKC,1460
NIPPOBATRY,371
SUPRIYA,5506
JAGRAN,1569
MARALOVER,313
MASPTOP50,0
LIQUID,0
TRENT,205810
MOSCHIP,3509
SHYAMMETL,23390
SILINV,639
DHANUKA,7698
HCLTECH,467179
ORIENTPPR,632
PIDILITIND,152366
WABAG,9665
NETWEB,10223
BALPHARMA,167
DEEDEV,2035
KCP,2610
XCHANGING,1092
AVTNPL,993
EMCURE,25608
DEVYANI,20838
LTFOODS,15776
STYLEBAAZA,1935
FEDERALBNK,50783
PALASHSECU,133
SILVERCASE,0
THEJO,1988
CELEBRITY,84
RADHIKAJWE,1040
MAHSCOOTER,17009
SANGHIIND,1567
MOTISONS,2082
VASWANI,148
PARACABLES,1691
NYKAA,56716
JKPAPER,6222
HUHTAMAKI,1595
NH,39531
MIDSELIETF,0
GLAXO,57329
RML,2757
BFSI,0
ARMANFIN,1852
EQUAL50ADD,0
SRF,91491
RUSHIL,860
GANESHHOUC,8242
DIVISLAB,178700
NIRAJ,330
BOSCHLTD,95440
SILVERBEES,0
SOFTTECH,464
FIRSTCRY,18818
SIRCA,2096
FLAIR,2698
PAGEIND,50388
BCLIND,1261
DELPHIFX,176
ORIENTCEM,5184
SONATSOFTW,11863
SAURASHCEM,970
SDL26BEES,0
FIBERWEB,148
TITAGARH,11925
MANINDS,2592
PRAKASHSTL,113
ASTRAMICRO,11060
FMCGIETF,0
PIONEEREMB,133
PCJEWELLER,8068
RAIN,5024
BDL,69830
SAKSOFT,2515
TALBROAUTO,1815
SENORES,2573
STEELCITY,161
SBIN,706294
GPTHEALTH,1246
INDUSTOWER,102852
ARCHIES,83
MONTECARLO,1260
DCMSHRIRAM,18107
SYNGENE,26318
BSE,108048
NATCAPSUQ,229
NIACL,30656
GOLDIAM,3928
PRECAM,1993
KBCGLOBAL,303
OFSS,84394
WINDMACHIN,3193
HEALTHY,0
ZOTA,2474
MITCON,133
LTTS,47757
MOTOGENFIN,105
LATENTVIEW,8338
CHOLAFIN,133478
WELENT,7218
MAGADSUGAR,969
BEPL,2848
GROWWLIQID,0
RICOAUTO,1068
GOLD360,0
APOLLO,6586
NIF10GETF,0
BSLSENETFG,0
DCI,409
PARASPETRO,90
DEEPAKFERT,19896
SURYODAY,1494
PDSL,5872
M&MFIN,37731
APLAPOLLO,50910
TCS,1262967
CCL,10723
HITECHCORP,328
DIACABS,5454
ELECTCAST,8187
PNB,122756
CIGNITITEC,4603
BAJAJHIND,3019
UYFINCORP,346
INDIANCARD,199
JPOLYINVST,913
IMPAL,1333
CANTABIL,2136
METAL,0
PRIMESECU,878
AFFLE,26982
RETAIL,27
AKASH,49
GLOSTERLTD,757
MODISONLTD,534
SINCLAIR,457
HINDCOMPOS,739
SENCO,5811
VIKASLIFE,487
KAMDHENU,893
MOLDTKPAC,2350
RATNAMANI,20153
ITI,30450
VMM,59379
AJANTPHARM,32631
VINDHYATEL,2089
NINSYS,879
LICNETFN50,0
YESBANK,63637
AKZOINDIA,14754
SMSPHARMA,2220
VIVIDHA,25
GULPOLY,1127
LICMFGOLD,0
AKSHOPTFBR,149
IGPL,1475
METROBRAND,33953
GOLDBEES,0
TIMKEN,24860
QUAL30IETF,0
MARKSANS,11834
VALIANTLAB,508
RTNPOWER,7547
CELLO,13338
KIMS,27278
GMMPFAUDLR,5260
NEXT50,0
TATSILV,0
INDHOTEL,108423
HDFCNIFIT,0
IKS,28751
KRONOX,632
FORTIS,57519
MCL,152
FINEORG,14266
ACCURACY,127
RPGLIFE,3904
RAMRAT,3093
ITCHOTELS,44591
ABSLAMC,22045
WESTLIFE,10803
HDFCQUAL,0
ASHOKLEY,69403
KIRIINDUS,3337
BIRLACABLE,610
HEALTHADD,0
TOKYOPLAST,133
CREDITACC,18837
ADANIENT,292039
THANGAMAYL,6041
ABMINTLLTD,45
LPDC,125
TINNARUBR,1603
CYBERMEDIA,31
USHAMART,9502
DIGISPICE,516
PRICOLLTD,5380
IGIL,16377
CHEMCON,715
CHEVIOT,639
NIFTYQLITY,0
POWERGRID,267206
VSSL,2069
BSHSL,1482
ALPA,209
IRB,29974
TRIGYN,264
BSLNIFTY,0
HINDZINC,203675
HINDPETRO,83985
GEECEE,817
SIL,131
FINOPB,2523
NECLIFE,515
GFLLIMITED,708
RUCHIRA,413
MIDQ50ADD,0
UNIVPHOTO,277
ATLANTAA,293
QGOLDHALF,0
SKFINDIA,22950
RITCO,798
MUTHOOTFIN,105633
SGIL,852
CONCOR,46519
WEIZMANIND,193
DREDGECORP,2029
JUNIORBEES,0
AUBANK,59291
SHAREINDIA,4053
RKDL,73
MODTHREAD,169
INNOVACAP,5117
TECH,0
MUFTI,1104
GMDCLTD,13206
DHANBANK,1166
OMINFRAL,1211
LODHA,146358
TIPSFILMS,255
ASHOKAMET,43
MOM50,0
TATAGOLD,0
FCL,3134
DCXINDIA,3314
SAPPHIRE,10586
ISFT,178
DMCC,659
ALEMBICLTD,2943
LIQUIDPLUS,0
ELECON,14999
VBL,159420
KOPRAN,937
KIRLOSENG,12592
JPPOWER,12061
SRD,418
TEXMOPIPES,192
LIQUIDBETF,0
TATACHEM,23789
HDFCSILVER,0
IKIO,1667
SBINEQWETF,0
MOMGF,0
IOC,198585
CENTRALBK,34413
COHANCE,38261
TATACONSUM,106991
ICIL,5301
HUBTOWN,3096
SEAMECLTD,2167
AUTOIND,366
IDEA,72700
POLYCAB,91380
AIRAN,382
UNIDT,463
ARIHANTSUP,1598
AAKASH,109
CAPLIPOINT,15960
V2RETAIL,6561
BANSALWIRE,6031
SILVERETF,0
ARIHANTCAP,806
EBBETF0433,0
GOKEX,6818
DYNAMATECH,4993
INDOUS,309
AXISILVER,0
GRANULES,12440
IVZINGOLD,0
TEJASNET,12328
KPEL,3514
SILVERTUC,985
BOROLTD,4185
MASTEK,7629
ZUARIIND,837
GEPIL,2163
AMBUJACEM,135164
BHARATGEAR,139
BANKETF,0
ALPL30IETF,0
OAL,1296
CCCL,827
SUNDRMFAST,20807
DNAMEDIA,60
GROWWEV,0
SURYAROSNI,7525
SANGHVIMOV,2530
INTLCONV,566
TVSMOTOR,134507
DWARKESH,906
KSHITIJPOL,20
RAMASTEEL,1997
MAZDA,488
ARVIND,8927
NITIRAJ,216
KRBL,8232
SSWL,4131
GTL,170
HAVISHA,74
INDTERRAIN,195
WHIRLPOOL,17140
KANORICHEM,423
DPABHUSHAN,3252
XPROINDIA,2766
MUFIN,1231
TMB,7101
FIVESTAR,22540
JUBLFOOD,45813
CHENNPETRO,9398
PRSMJOHNSN,7658
NAVKARCORP,1696
PANAMAPET,2215
CANFINHOME,10612
NEWGEN,17261
EBANKNIFTY,0
MTARTECH,5220
REMSONSIND,491
SUPERHOUSE,193
ABFRL,9146
RVNL,84860
PIXTRANS,2148
CLSEL,1669
UTISENSETF,0
MOIL,7761
TRF,420
INDGN,14448
TATAINVEST,33894
GULFPETRO,232
BLKASHYAP,1566
SREEL,568
CEWATER,1162
NDGL,432
EXPLEOSOL,1996
MIDCAPIETF,0
SANSERA,8436
MIDCAP,0
GPPL,7729
POKARNA,3412
GLENMARK,47611
SUNDRMBRAK,326
GSEC10YEAR,0
UNIECOM,1353
M&M,366486
JWL,16676
SAREGAMA,10245
OILCOUNTUB,441
RAYMONDLSL,6575
PSB,21975
SPECIALITY,615
HBLENGINE,16580
CESC,22430
WEALTH,1383
OIL,76925
RPPL,197
BBNPNBETF,0
TARMAT,141
CEATLTD,14812
DODLA,8437
EMBDL,16185
GATECHDVR,78
SCI,11294
UTIBANKETF,0
JINDALSAW,15425
RELIGARE,7689
MADHAV,42
SHARIABEES,0
VOLTAMP,8980
SURANASOL,175
ESG,0
LINDEINDIA,60531
AVROIND,219
JKTYRE,10078
EUREKAFORB,11392
CUBEXTUB,159
EUROTEXIND,13
ASPINWALL,222
VOLTAS,42934
TVTODAY,1002
PAKKA,832
APOLLOTYRE,28382
ACLGATI,1007
GKWLIMITED,1196
MAHKTECH,0
HBSL,71
CHAMBLFERT,22171
PRAKASH,2929
HATHWAY,2673
SASTASUNDR,1027
HAVELLS,97587
CORDSCABLE,256
AADHARHFC,19000
CLEDUCATE,502
RAMAPHO,444
GVT&D,60276
IDBI,101359
AGRITECH,94
UCOBANK,38935
SINTERCOM,360
STEELCAS,2186
UTINEXT50,0
LIQUIDIETF,0
HGS,2582
ANGELONE,26545
TATAPOWER,126816
METALIETF,0
NELCO,2574
BSOFT,11670
BLUEDART,14946
SHYAMTEL,20
SHALBY,1975
DECCANCE,1031
VETO,242
GANDHITUBE,878
GLOBAL,339
FAIRCHEMOR,1253
3IINFOLTD,434
POWERINDIA,82218
SAHYADRI,346
HAPPYFORGE,9218
SBCL,2796
INDIAGLYCO,5876
ALKEM,57974
PRIMO,647
SUMIT,301
